brand,n_responded_to_customer
AmazonHelp,74127
AppleSupport,28373
Uber_Support,15339
VirginTrains,13246
SpotifyCares,12709
AmericanAir,12317
Delta,10535
Tesco,10107
GWRHelp,9468
VerizonSupport,8972
British_Airways,8671
TMobileHelp,8486
XboxSupport,7810
SouthwestAir,7723
sainsburys,7428
AskPlayStation,6811
comcastcares,6786
hulu_support,6755
Ask_Spectrum,6625
O2,6350
sprintcare,6192
Safaricom_Care,5605
ATVIAssist,5603
idea_cares,5591
ChipotleTweets,5562
SW_Help,5263
ArgosHelpers,5173
MicrosoftHelps,4520
UPSHelp,4255
AirAsiaSupport,3884
AskAmex,3665
AskTarget,3585
AdobeCare,3572
marksandspencer,3428
AskeBay,3140
Morrisons,3138
LondonMidland,3080
JetBlue,2774
BofA_Help,2697
GloCare,2608
AzureSupport,2603
CoxHelp,2536
AirbnbHelp,2532
AskLyft,2281
AskPayPal,2234
AlaskaAir,2164
nationalrailenq,2097
VirginAtlantic,1963
airtel_care,1907
AldiUK,1822
NikeSupport,1773
GreggsOfficial,1708
ChaseSupport,1502
Ask_WellsFargo,1405
TacoBellTeam,1317
DropboxSupport,1300
McDonalds,1182
DellCares,1070
AskPapaJohns,1046
CenturyLinkHelp,933
VirginAmerica,882
AskCiti,872
NortonSupport,805
Postmates_Help,753
HPSupport,705
AsurionCares,669
ATT,632
IHGService,631
USCellularCares,626
TfL,598
GoDaddyHelp,569
VMUcare,482
AskVirginMoney,482
askpanera,471
KFC_UKI_Help,471
ArbysCares,470
sizehelpteam,452
SCsupport,438
GooglePlayMusic,369
Walmart,351
AskRBC,345
Kimpton,336
YahooCare,335
OPPOCareIN,314
AWSSupport,310
AskTigogh,307
NeweggService,301
PandoraSupport,294
DoorDash_Help,291
MTNC_Care,268
PearsonSupport,256
BoostCare,249
asksalesforce,249
AskSeagate,222
KeyBank_Help,193
DunkinDonuts,165
MOO,154
HiltonHelp,153
askvisa,119
ask_progressive,114
AskRobinhood,112
