brand,total_tweets,inbound_tweets,outbound_tweets,tweets_responding_to_customer_tweets,unique_customers_interacted_with,share_of_tweet_volume
AmazonHelp,169840,0,169840,74127,38041,0.0604
AppleSupport,106860,0,106860,28373,20941,0.038
Uber_Support,56270,0,56270,15339,11113,0.02
VirginTrains,27817,0,27817,13246,6913,0.0099
SpotifyCares,43265,0,43265,12709,8158,0.0154
AmericanAir,36764,0,36764,12317,8354,0.0131
Delta,42253,0,42253,10535,7013,0.015
Tesco,38573,0,38573,10107,6643,0.0137
GWRHelp,19364,0,19364,9468,4632,0.0069
VerizonSupport,17966,0,17966,8972,4218,0.0064
British_Airways,29361,0,29361,8671,5655,0.0104
TMobileHelp,34317,0,34317,8486,5677,0.0122
XboxSupport,24557,0,24557,7810,5153,0.0087
SouthwestAir,28977,0,28977,7723,5787,0.0103
sainsburys,19466,0,19466,7428,4914,0.0069
AskPlayStation,19098,0,19098,6811,4731,0.0068
comcastcares,33031,0,33031,6786,4912,0.0117
hulu_support,21872,0,21872,6755,4582,0.0078
Ask_Spectrum,25860,0,25860,6625,4481,0.0092
O2,16212,0,16212,6350,3723,0.0058
sprintcare,22381,0,22381,6192,4091,0.008
Safaricom_Care,16077,0,16077,5605,3307,0.0057
ATVIAssist,17650,0,17650,5603,3805,0.0063
idea_cares,15724,0,15724,5591,2904,0.0056
ChipotleTweets,18749,0,18749,5562,4390,0.0067
SW_Help,12231,0,12231,5263,2711,0.0043
ArgosHelpers,12174,0,12174,5173,3221,0.0043
MicrosoftHelps,11304,0,11304,4520,2401,0.004
UPSHelp,17817,0,17817,4255,3467,0.0063
AirAsiaSupport,12829,0,12829,3884,2183,0.0046
AskAmex,11358,0,11358,3665,1997,0.004
AskTarget,13218,0,13218,3585,3072,0.0047
AdobeCare,9917,0,9917,3572,1950,0.0035
marksandspencer,11504,0,11504,3428,2544,0.0041
AskeBay,9686,0,9686,3140,1869,0.0034
Morrisons,10126,0,10126,3138,2208,0.0036
LondonMidland,6822,0,6822,3080,1694,0.0024
JetBlue,8020,0,8020,2774,1959,0.0029
BofA_Help,12683,0,12683,2697,1956,0.0045
GloCare,6308,0,6308,2608,1284,0.0022
AzureSupport,7565,0,7565,2603,1282,0.0027
CoxHelp,7861,0,7861,2536,1609,0.0028
AirbnbHelp,8875,0,8875,2532,1720,0.0032
AskLyft,11809,0,11809,2281,1885,0.0042
AskPayPal,11298,0,11298,2234,1769,0.004
AlaskaAir,7478,0,7478,2164,1514,0.0027
nationalrailenq,4444,0,4444,2097,1298,0.0016
VirginAtlantic,4318,0,4318,1963,1283,0.0015
airtel_care,9881,0,9881,1907,1017,0.0035
AldiUK,8114,0,8114,1822,1644,0.0029
NikeSupport,3468,0,3468,1773,850,0.0012
GreggsOfficial,4522,0,4522,1708,1376,0.0016
ChaseSupport,8811,0,8811,1502,1196,0.0031
Ask_WellsFargo,7578,0,7578,1405,1204,0.0027
TacoBellTeam,4082,0,4082,1317,1020,0.0015
DropboxSupport,5954,0,5954,1300,914,0.0021
McDonalds,8478,0,8478,1182,1153,0.003
DellCares,5336,0,5336,1070,645,0.0019
AskPapaJohns,3908,0,3908,1046,840,0.0014
CenturyLinkHelp,3801,0,3801,933,749,0.0014
VirginAmerica,2815,0,2815,882,635,0.001
AskCiti,4081,0,4081,872,651,0.0015
NortonSupport,2011,0,2011,805,352,0.0007
Postmates_Help,3346,0,3346,753,626,0.0012
HPSupport,7200,0,7200,705,519,0.0026
AsurionCares,1898,0,1898,669,376,0.0007
ATT,2790,0,2790,632,543,0.001
IHGService,2643,0,2643,631,488,0.0009
USCellularCares,1177,0,1177,626,275,0.0004
TfL,2243,0,2243,598,499,0.0008
GoDaddyHelp,1965,0,1965,569,438,0.0007
VMUcare,1381,0,1381,482,295,0.0005
AskVirginMoney,914,0,914,482,227,0.0003
askpanera,2153,0,2153,471,434,0.0008
KFC_UKI_Help,2103,0,2103,471,449,0.0007
ArbysCares,1904,0,1904,470,421,0.0007
sizehelpteam,1482,0,1482,452,380,0.0005
SCsupport,1329,0,1329,438,318,0.0005
GooglePlayMusic,804,0,804,369,257,0.0003
Walmart,2643,0,2643,351,309,0.0009
AskRBC,1011,0,1011,345,286,0.0004
Kimpton,1339,0,1339,336,218,0.0005
YahooCare,906,0,906,335,244,0.0003
OPPOCareIN,879,0,879,314,190,0.0003
AWSSupport,1035,0,1035,310,272,0.0004
AskTigogh,715,0,715,307,140,0.0003
NeweggService,1079,0,1079,301,236,0.0004
PandoraSupport,1043,0,1043,294,243,0.0004
DoorDash_Help,1581,0,1581,291,244,0.0006
MTNC_Care,784,0,784,268,167,0.0003
PearsonSupport,841,0,841,256,174,0.0003
BoostCare,907,0,907,249,176,0.0003
asksalesforce,710,0,710,249,162,0.0003
AskSeagate,639,0,639,222,142,0.0002
KeyBank_Help,555,0,555,193,131,0.0002
DunkinDonuts,1290,0,1290,165,148,0.0005
MOO,630,0,630,154,126,0.0002
HiltonHelp,833,0,833,153,125,0.0003
askvisa,709,0,709,119,106,0.0003
ask_progressive,612,0,612,114,104,0.0002
AskRobinhood,432,0,432,112,98,0.0002
