text,count,share
@user hello. i apologize for the service issue and i would like to check on this for you. please send the phone number ... {url},602,0.02328
@user i do apologize for the inconvenience and i will be happy to help. can you dm me your account number? -jp,574,0.0222
@user my apologies for any issues you're currently having. i'd be happy to help anyway we can. please dm your service p... {url},545,0.02108
@user i apologize for the inconvenience. i will be glad to assist you. can you dm me your name and acct # or phone #? -jb,449,0.01736
@user good evening! i would really like to help with your internet services. when you can plz dm your phone number and address to chat? ^dt,255,0.00986
@user i do apologize for the service issues. could you please follow/dm your full service address or account number so ... {url},232,0.00897
@user my apologies for any issues you're currently having. i'd be happy to help anyway we can. please dm your service phone number or account number so we can access your account. ^rr,222,0.00858
@user hello there! thanks for reaching out i would love to help with any service issues. would you be able to send us a... {url},206,0.00797
"@user i am sorry for the poor experience. can you please dm/pm the full service address and name on the account, as we ... {url}",205,0.00793
@user i apologize for any issues please dm us your account number or phone number so we can assist you. ^tz,189,0.00731
@user if there is something specific i can assist you with please feel free to send me your phone or account number in a private message. ^as,187,0.00723
"@user hello, i do apologize for the issues you are experiencing with our service and i will be happy to assist. can you... {url}",171,0.00661
"@user my apologies on the service issue, we can certainly take a look. please follow/dm the account information includi... {url}",143,0.00553
@user i am sorry you are having issues with your internet. you can find helpful troubleshooting tips here ... {url},139,0.00538
@user hello. i apologize for the service interruption and i would like to check on this for you. please send the phone number associated with your account in a dm for further assistance. -az,137,0.0053
"@user we'd be happy to look into any service issues you may be experiencing. can you please dm the name, phone #, and t... {url}",123,0.00476
"@user i apologize for the delayed response. have your concerns been addressed? if not, i will need the account holders ... {url}",120,0.00464
@user i do apologize for the service issues. could you please follow/dm your full service address or account number so i may assess the situation at this time? thank you! ^jlm,117,0.00452
@user good evening! i would really like to help with your services. when you can plz dm your phone number and address to chat? ^dt,115,0.00445
"@user i am sorry for the poor experience. can you please dm the full service address and name on the account, as we ass... {url}",114,0.00441
