text,count,share
@user hi there! can you dm us your account's email address or username? we'll take a look backstage /nq {url},166,0.00384
@user hey there! can you dm us your account's email address? we'll take a look /rb {url},120,0.00277
@user hey there! could you dm us your account's username and email address? we'll take a look backstage /df {url},70,0.00162
@user hey! the cavalry's here. can you dm us your account's username or email address? we'll take a look under the hood /js {url},69,0.00159
@user hey! can you dm us your account's email address? we'll see what we can suggest /cb {url},67,0.00155
@user hey there! can you dm us your account's email address or username? we'll take a look /ns {url},59,0.00136
"@user hey! don't worry, we're on it. our developers are looking into this, and we'll keep everyone updated /df",57,0.00132
"@user hey, help's here! can you dm us your account's email address? we'll check backstage /gk {url}",51,0.00118
@user hey there! can you dm us your account's email address? we'll take a look backstage /rb {url},49,0.00113
@user we can see how that’d be handy. thanks for taking the time to reach out – your feedback's been noted 📝 /df,44,0.00102
@user hey there! can you dm us your account's email address or username? we'll check backstage /ar {url},42,0.00097
"@user hey! fingers crossed we'll be able to have it soon, but there's info about spotify content here: {url} /df",39,0.0009
@user we hear you 🎧 rest assured your feedback will be passed on to the right folks /df,37,0.00086
"@user hey there, help's here! can you dm us your account's email address and username? we'll take a look backstage 🙂 /cg {url}",37,0.00086
"@user hey there! we don't have any info on this right now, but we'll let the right team know it's something you'd like to see /nq",36,0.00083
"@user no worries! if you ever need anything else, just shout and we'll come running 🏃 /df",32,0.00074
"@user hey! what device, operating system, and spotify version are you using? we'll see what we can suggest /cb",31,0.00072
"@user hey there, help's here! could you dm us your account's email address and username? we'll take a look backstage /cg {url}",30,0.00069
"@user hey, thanks for the report! we had a little hiccup earlier, but everything should be running just fine now /js",30,0.00069
@user you're welcome! let us know if you ever need us again. we'd be... {url} /rb,28,0.00065
