text,count,share
"@user we're aware of the issue, but let's make sure we're doing everything possible to get you taken care of. send us a dm! *rickk",88,0.00256
@user you can rely on me to take a look for you! click on my profile to dm me: {url} *tjellwood,56,0.00163
@user click here to dm us so we can discuss this more! {url} *aliciabanks,42,0.00122
"@user hey there, i can surely look into that for you. click my pic and send me a dm. {url} *jessicacanada",41,0.00119
@user uh-oh! that's not what we like to hear! shoot me a dm {url} *kiawashington,27,0.00079
"@user t-force is here for you {num}x{num}, please dm us if you need assistance. *donaldd",20,0.00058
@user @user we want to make sure that all of your experiences with us are top notch. dm me so i can lend a hand {url} *taylorbest,19,0.00055
@user that is not what we want! can you please dm me via this link {url} so we can talk? *jonathanmacinnes,16,0.00047
@user having strong connection is important to me. let's take a closer look to see what's happening. send us a dm! *rickk,16,0.00047
"@user send me a dm, and i'll check it out! {url} *bridget wren",16,0.00047
@user that is an excellent question! can you please dm me via this link {url} so we can talk? *jonathanmacinnes,14,0.00041
"@user this is right up my alley, shoot me a quick dm and i will jump on this right away! {url} *trebrewbaker",13,0.00038
@user thank you for reaching out about this! can you please dm me via this link {url} so we can talk? *jonathanmacinnes,13,0.00038
@user i'd be happy to see what we can do for you! send me a quick dm and i will jump on this right away! {url} *trebrewbaker,13,0.00038
@user you've come to the right place! can you please dm me via this link {url} so we can talk? *jonathanmacinnes,11,0.00032
@user hey! you can dm right here personally. i'll be more than happy to help you myself. {url} *rehanaanwar,11,0.00032
@user {url} *ryanperez,11,0.00032
@user @user hey! we've got your dm and will be replying shortly. thank you! *alissafast,9,0.00026
@user {url} *sagemcgowan,9,0.00026
@user @user i've got your dm and will reply shortly. *zachricketts,9,0.00026
