text,count,share
@user here to help. send us a note at {url} so our team can connect.,1854,0.03295
"@user here to help! send us a note here, {url} and our team will follow up.",714,0.01269
@user we're sorry to hear this was your experience. contact us via {url} and we'll be in touch.,650,0.01155
"@user sorry for the trouble! send us a note here, {url} and our team will be in touch.",599,0.01065
@user we're here to help! send us a dm with your email address so we can connect.,588,0.01045
@user we're here to help! send us a dm with your email address so we can assist.,578,0.01027
@user here to help! send us a note via {url} so our team can connect.,518,0.00921
@user we're here to help! send us a dm with your email address and more details so we can follow up.,496,0.00881
@user here to help! follow up here; {url} and our team will connect right away.,485,0.00862
@user we take this very seriously. please send us a dm with your email address so we can connect asap.,483,0.00858
@user here to help! send us a note at {url} so our team can connect.,418,0.00743
@user we've been in touch via dm!,403,0.00716
@user here to help! send us a note here; {url} and our team will be able to assist!,383,0.00681
@user here to help! please send us a note at {url} and we'll be happy to look into this for you.,369,0.00656
@user hi there! please reach out to {url} and fill out the {num} boxes at the bottom so we can get in touch.,369,0.00656
@user here to help! send us a note via {url} and we'll be in touch.,358,0.00636
@user we can take a look! send us a note via {url} so our team can get in touch.,351,0.00624
@user we're so sorry for the trouble. send us a note via {url} so we can assist.,346,0.00615
"@user happy to help! send us a note here, {url} and our team will follow up.",336,0.00597
@user here to help! please send us a note via {url} so our team can connect.,334,0.00594
