text,count,share
"@user hi, i would love to help. please dm me the phone # associated with the account &amp; the service address. -jules",412,0.01247
"@user oh no! this is not the experience we want our customers to have. i can definitely look into this service issue for you. please, go ahead",205,0.00621
@user and send us a direct message with your account information so that i can see what's going on. –xg,203,0.00615
@user i would be happy to look further into your service issues if you would provide your full address and account associated phone # in a dm. -jw,188,0.00569
"@user i am happy to look into this for you. can you send a dm with your full name and address, so i can locate your account and assist? - noah",132,0.004
"@user i see that you've recently posted about your comcast services, dm your account # so i can look into this &amp; speak privately. ~db",122,0.00369
@user hello. i’d like to help with the internet issues you’re experiencing. could you dm me so we can talk in more detail? –ek,122,0.00369
@user hello. can you send over a dm with your account info for review? -ml,117,0.00354
@user i would be happy to look further into this for you if you would provide your full address and account associated phone number in a dm. -jw,113,0.00342
"@user i am happy to look into this for you. can you send a dm with your address and phone number, so i can locate your account and assist? - noah",113,0.00342
"@user oh no! this is not the experience we want our customers to have. i can definitely look into this service issue for you. please, go ahead and send us a direct message with your account information so that i can see what's going on. –xg",107,0.00324
@user hello. i’d like to help with the service issues you’re experiencing. could you dm me so we can talk in more detail? –ek,98,0.00297
@user i would be happy to look further into your internet issue if you would provide your full address and account associated phone # in a dm. -jw,98,0.00297
@user i just wanted to follow up with you and see if you were still having issues with your services. -jw,84,0.00254
"@user hello, we are able to look into your internet trouble. please send us a dm with your name and phone number for assistance. -ac",73,0.00221
"@user hi, i would be happy to help look in to the services. can you please send me a dm with your acct# or phone# so i can assist you? -clr",72,0.00218
"@user i see that you've recently posted to comcast, how can i help? ~db",69,0.00209
@user hello please dm your full address and name on your account and i will look into this for you. ~rd,65,0.00197
@user i can help with the issues you're experiencing with your comcast internet. dm your account # so we can look furth... {url},64,0.00194
@user i would be happy to look further into your service issues if you would provide your full address and the account associated phone number in a dm. -jw,58,0.00176
