brand,n_brand_tweets,n_customer_tweets,n_conversations,brand_empty_text,customer_empty_text,brand_extremely_short_<=4chars,customer_extremely_short_<=4chars,brand_url_only,customer_url_only,brand_duplicate_texts,n_brand_only_convs,n_customer_only_convs,n_convs_with_1plus_cust_and_1plus_brand
AmazonHelp,169840,203598,82556,0,0,0,0,0,14,35,0,0,82556
AppleSupport,106860,131764,80717,0,0,0,32,0,8,90,0,0,80717
Uber_Support,56270,72154,41923,0,0,0,0,0,4,72,0,0,41923
SpotifyCares,43265,48543,28280,0,0,0,0,0,16,4,3,0,28277
AmericanAir,36764,50054,26386,0,0,0,0,0,3,1,0,0,26386
Delta,42253,45296,26168,0,0,0,3,0,0,10,2,0,26166
comcastcares,33031,39579,24063,0,0,0,2,0,4,13,0,0,24063
TMobileHelp,34317,47158,22820,0,0,0,1,0,1,14,0,0,22820
SouthwestAir,28977,35370,21636,0,0,0,0,0,0,3,2,0,21634
Ask_Spectrum,25860,33252,18532,0,0,0,1,0,3,44,1,0,18531
Tesco,38573,34228,16722,0,0,0,0,0,0,11,0,0,16722
British_Airways,29361,31187,16452,0,0,0,0,0,0,1,0,0,16452
UPSHelp,17817,25724,15523,0,0,0,0,0,4,8,0,0,15523
hulu_support,21872,26807,14955,0,0,0,1,0,1,1,3,0,14952
VirginTrains,27817,37832,14853,0,0,0,0,0,1,47,2,0,14851
ChipotleTweets,18749,23084,14392,0,0,0,1,0,0,1,0,0,14392
sprintcare,22381,30212,13560,0,0,0,0,0,4,30,0,0,13560
XboxSupport,24557,32395,13455,0,0,0,0,0,1,11,20,0,13435
AskPlayStation,19098,23954,12533,0,0,0,0,0,1,25,0,0,12533
AskTarget,13218,17367,11151,0,0,0,0,0,0,8,0,0,11151
ATVIAssist,17650,30521,11113,0,0,0,0,0,3,10,0,0,11113
sainsburys,19466,23710,10934,0,0,0,0,0,1,10,0,0,10934
GWRHelp,19364,27278,10732,0,0,0,0,0,0,6,0,0,10732
AskLyft,11809,15299,10170,0,0,0,1,0,1,24,0,0,10170
AskPayPal,11298,15542,9589,0,0,0,0,0,0,2,0,0,9589
O2,16212,20245,9556,0,0,0,4,0,0,6,0,0,9556
Safaricom_Care,16077,17650,9337,0,0,0,0,0,0,24,0,0,9337
VerizonSupport,17966,26652,8447,0,0,0,0,0,1,8,0,0,8447
McDonalds,8478,10947,8132,0,0,0,1,0,1,8,0,0,8132
marksandspencer,11504,14284,7977,0,0,0,0,0,0,4,1,0,7976
ArgosHelpers,12174,16094,7553,0,0,0,1,0,1,9,0,0,7553
idea_cares,15724,19046,7522,0,0,0,0,0,2,68,0,0,7522
ChaseSupport,8811,10059,6887,0,0,0,0,0,1,3,0,0,6887
AirAsiaSupport,12829,14155,6763,0,0,0,0,0,1,35,1,0,6762
AldiUK,8114,10627,6632,0,0,0,0,0,0,23,0,0,6632
BofA_Help,12683,12071,6583,0,0,0,0,0,1,17,0,0,6583
SW_Help,12231,16312,6224,0,0,0,0,1,1,69,0,0,6224
Ask_WellsFargo,7578,9000,6036,0,0,0,0,0,1,5,0,0,6036
AirbnbHelp,8875,11180,6033,0,0,0,1,0,0,2,0,0,6033
Morrisons,10126,11020,5960,0,0,0,0,4,0,10,2,0,5958
AskeBay,9686,11319,5662,0,0,0,0,0,0,2,0,0,5662
AlaskaAir,7478,9342,5629,0,0,0,0,0,0,4,0,0,5629
JetBlue,8020,9738,5181,0,0,0,0,0,2,1,0,0,5181
AdobeCare,9917,11075,5094,0,0,0,1,1,2,40,0,0,5094
CoxHelp,7861,10018,4874,0,0,0,0,0,1,4,0,0,4874
MicrosoftHelps,11304,13090,4458,0,0,0,0,0,0,2,0,0,4458
AskAmex,11358,9465,4300,0,0,0,0,0,0,37,0,0,4300
airtel_care,9881,8308,4025,0,0,0,0,0,0,1933,2,0,4023
HPSupport,7200,5339,3841,0,0,0,0,0,0,24,0,0,3841
LondonMidland,6822,9304,3678,0,0,0,0,3,0,12,2,0,3676
GreggsOfficial,4522,6376,3344,0,0,0,0,0,0,1,0,0,3344
AzureSupport,7565,7163,3309,0,0,0,0,0,1,24,12,0,3297
GloCare,6308,8588,3219,0,0,0,0,0,0,111,0,0,3219
DropboxSupport,5954,5638,3180,0,0,0,0,0,0,1,0,0,3180
AskPapaJohns,3908,5018,3153,0,0,0,0,0,1,1,0,0,3153
TacoBellTeam,4082,4911,3110,0,0,0,0,0,0,2,0,0,3110
Postmates_Help,3346,4422,3010,0,0,0,0,1,0,2,0,0,3010
CenturyLinkHelp,3801,5725,2988,0,0,0,0,0,0,13,0,0,2988
VirginAtlantic,4318,5932,2771,0,0,0,0,1,0,0,1,0,2770
Walmart,2643,3369,2406,0,0,0,0,0,0,0,2,0,2404
AskCiti,4081,3837,2327,0,0,0,0,0,0,1,0,0,2327
nationalrailenq,4444,5502,2275,0,0,0,0,0,1,0,16,0,2259
VirginAmerica,2815,3602,2113,0,0,0,0,0,0,1,0,0,2113
ATT,2790,4469,2061,0,0,0,1,0,0,3,0,0,2061
KFC_UKI_Help,2103,2958,2017,0,0,0,0,0,1,4,0,0,2017
DellCares,5336,4630,1996,0,0,0,0,0,1,10,11,0,1985
askpanera,2153,2731,1978,0,0,0,0,0,0,0,0,0,1978
IHGService,2643,2823,1746,0,0,0,0,0,2,0,0,0,1746
TfL,2243,2869,1572,0,0,0,0,0,1,3,0,0,1572
NikeSupport,3468,4312,1563,0,0,0,0,0,1,7,0,0,1563
ArbysCares,1904,2299,1555,0,0,0,0,0,0,0,0,0,1555
DoorDash_Help,1581,2242,1509,0,0,0,0,0,0,13,0,0,1509
GoDaddyHelp,1965,2524,1451,0,0,0,0,0,0,1,0,0,1451
DunkinDonuts,1290,1567,1258,0,0,0,0,0,0,3,0,0,1258
sizehelpteam,1482,2046,1251,0,0,0,0,0,0,8,0,0,1251
AsurionCares,1898,2572,1074,0,0,0,0,0,0,0,0,0,1074
Kimpton,1339,1536,1054,0,0,0,0,0,0,0,0,0,1054
SCsupport,1329,1609,980,0,0,0,0,0,0,10,0,0,980
AWSSupport,1035,1498,904,0,0,0,0,0,0,0,0,0,904
NortonSupport,2011,2213,899,0,0,0,1,0,0,0,0,0,899
AskRBC,1011,1414,839,0,0,0,0,0,0,0,0,0,839
NeweggService,1079,1401,796,0,0,0,0,0,0,0,0,0,796
VMUcare,1381,1862,727,0,0,0,0,0,0,1,0,0,727
PandoraSupport,1043,1254,724,0,0,0,0,0,0,1,0,0,724
HiltonHelp,833,1193,716,0,0,0,0,0,0,1,0,0,716
BoostCare,907,1273,673,0,0,0,0,0,0,0,0,0,673
PearsonSupport,841,1005,604,0,0,0,0,0,0,2,1,0,603
GooglePlayMusic,804,1126,545,0,0,0,0,0,0,0,0,0,545
ask_progressive,612,798,543,0,0,0,0,0,0,0,0,0,543
USCellularCares,1177,1537,541,0,0,0,0,0,1,1,0,0,541
YahooCare,906,1269,538,0,0,0,0,0,0,3,0,0,538
MTNC_Care,784,1194,529,0,0,0,0,1,0,1,2,0,527
asksalesforce,710,936,486,0,0,0,0,0,0,0,0,0,486
MOO,630,795,478,0,0,0,0,0,0,0,0,0,478
askvisa,709,697,473,0,0,0,0,0,0,0,0,0,473
OPPOCareIN,879,1147,451,0,0,0,0,0,0,2,1,0,450
AskVirginMoney,914,1014,396,0,0,0,0,0,0,0,0,0,396
KeyBank_Help,555,678,374,0,0,0,0,0,0,0,0,0,374
AskRobinhood,432,595,353,0,0,0,0,0,0,0,0,0,353
AskSeagate,639,711,346,0,0,0,0,0,0,0,0,0,346
AskTigogh,715,922,322,0,0,0,0,0,0,0,0,0,322
