brand,n_convs_with_problem_and_response,response_type_distribution,share_last_responses_of_type_DM_INFO,unique_ratio_of_last_responses(normalized),n_convs_with_ge2_brand_responses
AmazonHelp,82556,"{'OTHER': 0.5312, 'APOLOGY_ONLY': 0.1624, 'DM_INFO': 0.1216, 'ACK': 0.0708, 'STATUS_UPDATE': 0.0397, 'SELF_SERVICE': 0.0302, 'ESCALATION': 0.0221, 'COMPENSATION': 0.0121, 'FIXED': 0.0099}",0.1216,0.9279,40969
AppleSupport,80717,"{'DM_INFO': 0.6696, 'OTHER': 0.1482, 'FIXED': 0.0819, 'ACK': 0.0481, 'SELF_SERVICE': 0.0316, 'STATUS_UPDATE': 0.0184, 'ESCALATION': 0.0014, 'APOLOGY_ONLY': 0.0004, 'COMPENSATION': 0.0004}",0.6696,0.7429,17930
Uber_Support,41923,"{'DM_INFO': 0.7547, 'OTHER': 0.0933, 'SELF_SERVICE': 0.0589, 'ACK': 0.0468, 'APOLOGY_ONLY': 0.0333, 'ESCALATION': 0.0065, 'STATUS_UPDATE': 0.0036, 'FIXED': 0.0021, 'COMPENSATION': 0.0008}",0.7547,0.3753,9394
SpotifyCares,28277,"{'DM_INFO': 0.4217, 'OTHER': 0.3797, 'ACK': 0.107, 'SELF_SERVICE': 0.0421, 'APOLOGY_ONLY': 0.0231, 'FIXED': 0.0091, 'ESCALATION': 0.009, 'STATUS_UPDATE': 0.0047, 'COMPENSATION': 0.0036}",0.4217,0.8026,8250
AmericanAir,26386,"{'OTHER': 0.3948, 'DM_INFO': 0.1959, 'ACK': 0.1669, 'APOLOGY_ONLY': 0.1422, 'STATUS_UPDATE': 0.0508, 'ESCALATION': 0.0266, 'SELF_SERVICE': 0.0119, 'COMPENSATION': 0.0076, 'FIXED': 0.0033}",0.1959,0.9679,7192
Delta,26166,"{'OTHER': 0.3102, 'ACK': 0.2795, 'DM_INFO': 0.2241, 'APOLOGY_ONLY': 0.1078, 'ESCALATION': 0.0358, 'STATUS_UPDATE': 0.0258, 'SELF_SERVICE': 0.0079, 'COMPENSATION': 0.007, 'FIXED': 0.002}",0.2241,0.9149,8723
Tesco,16722,"{'DM_INFO': 0.3558, 'OTHER': 0.2925, 'ACK': 0.1822, 'APOLOGY_ONLY': 0.0873, 'COMPENSATION': 0.038, 'ESCALATION': 0.0202, 'FIXED': 0.0151, 'STATUS_UPDATE': 0.0065, 'SELF_SERVICE': 0.0023}",0.3558,0.9535,10197
British_Airways,16452,"{'OTHER': 0.3704, 'ACK': 0.1896, 'APOLOGY_ONLY': 0.183, 'DM_INFO': 0.1575, 'ESCALATION': 0.0407, 'STATUS_UPDATE': 0.0264, 'SELF_SERVICE': 0.0115, 'FIXED': 0.0114, 'COMPENSATION': 0.0094}",0.1575,0.9894,7293
VirginTrains,14851,"{'OTHER': 0.6144, 'APOLOGY_ONLY': 0.1414, 'ACK': 0.1133, 'DM_INFO': 0.0387, 'STATUS_UPDATE': 0.033, 'COMPENSATION': 0.0235, 'ESCALATION': 0.019, 'SELF_SERVICE': 0.0119, 'FIXED': 0.0047}",0.0387,0.9329,6271
XboxSupport,13435,"{'OTHER': 0.4668, 'DM_INFO': 0.3268, 'ACK': 0.0781, 'SELF_SERVICE': 0.0686, 'STATUS_UPDATE': 0.0176, 'FIXED': 0.0166, 'APOLOGY_ONLY': 0.0134, 'ESCALATION': 0.0066, 'COMPENSATION': 0.0055}",0.3268,0.6938,5695
VerizonSupport,8447,"{'OTHER': 0.63, 'DM_INFO': 0.1982, 'ACK': 0.0855, 'SELF_SERVICE': 0.0395, 'APOLOGY_ONLY': 0.0244, 'STATUS_UPDATE': 0.0102, 'FIXED': 0.0053, 'ESCALATION': 0.0043, 'COMPENSATION': 0.0026}",0.1982,0.7149,3995
TMobileHelp,22820,"{'DM_INFO': 0.8497, 'OTHER': 0.0919, 'ACK': 0.0367, 'SELF_SERVICE': 0.0133, 'APOLOGY_ONLY': 0.0023, 'FIXED': 0.0021, 'ESCALATION': 0.0021, 'STATUS_UPDATE': 0.0011, 'COMPENSATION': 0.0008}",0.8497,0.9705,5327
