brand,n_brand_outbound_tweets,unique_raw_texts,unique_normalized_templates,unique_ratio_normalized,top10_template_share,top20_template_share,top50_template_share,most_frequent_raw_msg_share
AmazonHelp,169840,169805,154114,0.9074,0.006,0.0095,0.0165,0.0
AppleSupport,106860,106770,82877,0.7756,0.098,0.114,0.1307,0.0
Uber_Support,56270,56198,20852,0.3706,0.1238,0.1889,0.3007,0.0001
SpotifyCares,43265,43261,35571,0.8222,0.0174,0.0253,0.0411,0.0
Delta,42253,42243,38909,0.9209,0.0156,0.0215,0.0325,0.0
Tesco,38573,38562,36289,0.9408,0.0122,0.0191,0.0303,0.0001
AmericanAir,36764,36763,35578,0.9677,0.0068,0.01,0.0161,0.0001
TMobileHelp,34317,34303,33288,0.97,0.0099,0.0132,0.0188,0.0001
comcastcares,33031,33018,23956,0.7253,0.0523,0.0761,0.1147,0.0001
British_Airways,29361,29360,29057,0.9896,0.0033,0.0048,0.0081,0.0001
VirginTrains,27817,27770,26015,0.9352,0.0115,0.0171,0.0285,0.0002
Ask_Spectrum,25860,25816,14246,0.5509,0.1345,0.1874,0.2734,0.0002
XboxSupport,24557,24546,17627,0.7178,0.0843,0.106,0.1405,0.0001
sprintcare,22381,22351,19333,0.8638,0.0139,0.0231,0.0428,0.0001
VerizonSupport,17966,17958,14072,0.7833,0.0635,0.0846,0.1211,0.0001
